Trying to bind to IPC: /home/mininet/astraea_ipc/astraea454563
Successfull bind to IPC: /home/mininet/astraea_ipc/astraea454563
2025-05-27 16:55:55.387505: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 AVX512F FMA
2025-05-27 16:55:55.392314: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2899995000 Hz
2025-05-27 16:55:55.393038: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x5646862b09d0 executing computations on platform Host. Devices:
2025-05-27 16:55:55.393191: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): <undefined>, <undefined>
2025-05-27 16:55:55.486287: W tensorflow/compiler/jit/mark_for_compilation_pass.cc:1412] (One-time warning): Not using XLA:CPU for cluster because envvar TF_XLA_FLAGS=--tf_xla_cpu_global_jit was not set.  If you want XLA:CPU, either set that envvar, or use experimental_jit_scope to enable XLA:CPU.  To confirm that XLA is active, pass --vmodule=xla_compilation_cache=1 (as a proper command-line flag, not via TF_XLA_FLAGS) or set the envvar XLA_FLAGS=--xla_hlo_profile.
[2025-05-27 16:55:56,195 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1275021, 'avg_urtt': 30478, 'cnt': 13, 'cwnd': 29, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 29, 'max_tput': 1275021, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1365643, 'packets_out': 28, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 245991, 'thr_cnt': 13, 'time_delta': 29993}
[2025-05-27 16:55:56,225 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1326028, 'avg_urtt': 30555, 'cnt': 13, 'cwnd': 30, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 30, 'max_tput': 1326028, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1419660, 'packets_out': 29, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244791, 'thr_cnt': 13, 'time_delta': 30004}
[2025-05-27 16:55:56,255 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1346828, 'avg_urtt': 30549, 'cnt': 15, 'cwnd': 31, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 31, 'max_tput': 1346828, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1468631, 'packets_out': 30, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244516, 'thr_cnt': 15, 'time_delta': 30052}
[2025-05-27 16:55:56,285 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1405086, 'avg_urtt': 30552, 'cnt': 15, 'cwnd': 32, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 31, 'max_tput': 1405086, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1515969, 'packets_out': 31, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244522, 'thr_cnt': 15, 'time_delta': 30024}
[2025-05-27 16:55:56,315 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1447463, 'avg_urtt': 30544, 'cnt': 14, 'cwnd': 33, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 33, 'max_tput': 1447463, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1563561, 'packets_out': 33, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244488, 'thr_cnt': 14, 'time_delta': 29949}
[2025-05-27 16:55:56,345 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1482159, 'avg_urtt': 30538, 'cnt': 16, 'cwnd': 34, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 34, 'max_tput': 1482159, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1609520, 'packets_out': 33, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244704, 'thr_cnt': 16, 'time_delta': 29997}
[2025-05-27 16:55:56,375 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1554657, 'avg_urtt': 30551, 'cnt': 16, 'cwnd': 35, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 35, 'max_tput': 1554657, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1649712, 'packets_out': 34, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 245764, 'thr_cnt': 16, 'time_delta': 30015}
[2025-05-27 16:55:56,405 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1608081, 'avg_urtt': 30620, 'cnt': 17, 'cwnd': 36, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 36, 'max_tput': 1608081, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1699800, 'packets_out': 35, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 245337, 'thr_cnt': 17, 'time_delta': 29993}
[2025-05-27 16:55:56,436 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1626379, 'avg_urtt': 30583, 'cnt': 17, 'cwnd': 37, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 37, 'max_tput': 1626379, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1751200, 'packets_out': 37, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244751, 'thr_cnt': 17, 'time_delta': 30009}
[2025-05-27 16:55:56,465 - INFO - /home/mininet/P/contracts/astraea-open-source/python/infer.py:144] RL: state is {'avg_thr': 1678767, 'avg_urtt': 30554, 'cnt': 18, 'cwnd': 38, 'loss_bytes': 0, 'loss_ratio': 0.0, 'max_packets_out': 38, 'max_tput': 1678767, 'min_rtt': 30345, 'mss_cache': 1448, 'pacing_rate': 1798074, 'packets_out': 37, 'retrans_out': 0, 'snd_ssthresh': 2147483647, 'srtt_us': 244813, 'thr_cnt': 18, 'time_delta': 29980}
